2024-01-15 08:00:01 INFO  Application started successfully
2024-01-15 08:01:23 INFO  User 'alice' logged in
2024-01-15 08:02:45 WARNING  Disk usage at 75%
2024-01-15 08:03:10 INFO  User 'bob' logged in
2024-01-15 08:04:55 ERROR  Failed to connect to database: timeout
2024-01-15 08:05:30 INFO  Retry attempt 1 for database connection
2024-01-15 08:06:01 INFO  Database connection restored
2024-01-15 08:07:15 WARNING  High memory usage detected: 82%
2024-01-15 08:08:00 INFO  Scheduled backup started
2024-01-15 08:09:33 ERROR  Backup failed: insufficient disk space
2024-01-15 08:10:05 CRITICAL  System temperature critical: 95 C
2024-01-15 08:11:20 INFO  Cooling system activated
2024-01-15 08:12:45 WARNING  API rate limit approaching (90%)
2024-01-15 08:13:10 INFO  User 'alice' logged out
2024-01-15 08:14:00 ERROR  Invalid login attempt for user 'hacker'
2024-01-15 08:15:30 INFO  Security alert sent to admin
2024-01-15 08:16:45 WARNING  SSL certificate expires in 7 days
2024-01-15 08:17:00 INFO  Certificate renewal initiated
2024-01-15 08:18:20 CRITICAL  Out of memory: killing process 4821
2024-01-15 08:19:05 ERROR  Service 'payment-api' is unresponsive
2024-01-15 08:20:00 INFO  Restarting service 'payment-api'
2024-01-15 08:21:15 INFO  Service 'payment-api' restored
2024-01-15 08:22:30 WARNING  Slow query detected: 4.2 seconds
2024-01-15 08:23:00 INFO  Query cache cleared
2024-01-15 08:24:45 INFO  User 'charlie' logged in
